"DRD350F.Code.or.Value","DRD350F.Value.Description","DRD350F.Count","DRD350F.Cumulative","DRD350F.Skip.to.Item"
"1","Yes",276,276,""
"2","No",3483,3759,"DRD350G"
".","Missing",6003,9762,""
