"DR1TTHEO.Code.or.Value","DR1TTHEO.Value.Description","DR1TTHEO.Count","DR1TTHEO.Cumulative","DR1TTHEO.Skip.to.Item"
"0 to 1135","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
