"PFD069B.Code.or.Value","PFD069B.Value.Description","PFD069B.Count","PFD069B.Cumulative","PFD069B.Skip.to.Item"
"7 to 30295","Range of Values",572,572,NA
"66666","Since birth",7,579,NA
"77777","Refused",1,580,NA
"99999","Don't know",7,587,NA
".","Missing",9883,10470,NA
