"WBXF029.Code.or.Value","WBXF029.Value.Description","WBXF029.Count","WBXF029.Cumulative","WBXF029.Skip.to.Item"
"840.8964 to 840.8964","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
