"DXXIAY.Code.or.Value","DXXIAY.Value.Description","DXXIAY.Count","DXXIAY.Cumulative","DXXIAY.Skip.to.Item"
"121.5 to 394.6","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
