"SSD011.Code.or.Value","SSD011.Value.Description","SSD011.Count","SSD011.Cumulative","SSD011.Skip.to.Item"
"1","Yes",1727,1727,""
"2","No",112,1839,"SSD051"
"3","SP doesn't need help",24,1863,"SSD051"
"7","Refused",4,1867,"SSD051"
"9","Don't know",0,1867,"SSD051"
".","Missing",5,1872,""
