"DBQ390.Code.or.Value","DBQ390.Value.Description","DBQ390.Count","DBQ390.Cumulative","DBQ390.Skip.to.Item"
"1","Free",1188,1188,NA
"2","Reduced price",135,1323,NA
"3","Full price",413,1736,NA
"7","Refused",0,1736,NA
"9","Don't know",5,1741,NA
".","Missing",7513,9254,NA
