"GTDDR2MN.Code.or.Value","GTDDR2MN.Value.Description","GTDDR2MN.Count","GTDDR2MN.Cumulative","GTDDR2MN.Skip.to.Item"
"65 to 138","Range of Values",2086,2086,NA
".","Missing",627,2713,NA
