"AUXRR176.Code.or.Value","AUXRR176.Value.Description","AUXRR176.Count","AUXRR176.Cumulative","AUXRR176.Skip.to.Item"
"-17 to 66","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
