"WTSCI34.Code.or.Value","WTSCI34.Value.Description","WTSCI34.Count","WTSCI34.Cumulative","WTSCI34.Skip.to.Item"
"0 to 459926.3522","Range of Values",727,727,NA
".","Missing",51,778,NA
