"OHQ585U.Code.or.Value","OHQ585U.Value.Description","OHQ585U.Count","OHQ585U.Cumulative","OHQ585U.Skip.to.Item"
"1","Months",8,8,NA
"2","Years",109,117,NA
".","Missing",9653,9770,NA
