"RIDAGEEX.Code.or.Value","RIDAGEEX.Value.Description","RIDAGEEX.Count","RIDAGEEX.Cumulative","RIDAGEEX.Skip.to.Item"
"0 to 1019","Range of Values",10304,10304,NA
".","Missing",735,11039,NA
