"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"1774.4576942 to 330066.87932","Range of Values",145703,145703,NA
".","Missing",0,145703,NA
