"DRD370T.Code.or.Value","DRD370T.Value.Description","DRD370T.Count","DRD370T.Cumulative","DRD370T.Skip.to.Item"
"1","Yes",1042,1042,""
"2","No",3296,4338,"DRD370U"
".","Missing",4366,8704,""
