"RHD170.Code.or.Value","RHD170.Value.Description","RHD170.Count","RHD170.Cumulative","RHD170.Skip.to.Item"
"0 to 10","Range of Values",1979,1979,NA
"11","11 or More",25,2004,NA
"77","Refused",1,2005,NA
"99","Don't know",0,2005,NA
".","Missing",1512,3517,NA
