"DR2IVC.Code.or.Value","DR2IVC.Value.Description","DR2IVC.Count","DR2IVC.Cumulative","DR2IVC.Skip.to.Item"
"0 to 1333.2","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
