"BMXHEAD.Code.or.Value","BMXHEAD.Value.Description","BMXHEAD.Count","BMXHEAD.Cumulative","BMXHEAD.Skip.to.Item"
"32.3 to 47.8","Range of Values",269,269,NA
".","Missing",9374,9643,NA
