"DXXSAX.Code.or.Value","DXXSAX.Value.Description","DXXSAX.Count","DXXSAX.Cumulative","DXXSAX.Skip.to.Item"
"576 to 1153","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
