"LBXRBFSI.Code.or.Value","LBXRBFSI.Value.Description","LBXRBFSI.Count","LBXRBFSI.Cumulative","LBXRBFSI.Skip.to.Item"
"198 to 7080","Range of Values",8764,8764,NA
".","Missing",1071,9835,NA
