"LBDSGBSI.Code.or.Value","LBDSGBSI.Value.Description","LBDSGBSI.Count","LBDSGBSI.Cumulative","LBDSGBSI.Skip.to.Item"
"7 to 59","Range of Values",5967,5967,NA
".","Missing",582,6549,NA
