"VTQ241A.Code.or.Value","VTQ241A.Value.Description","VTQ241A.Count","VTQ241A.Cumulative","VTQ241A.Skip.to.Item"
"1","Yes",738,738,NA
"2","No",1991,2729,NA
"7","Refused",0,2729,NA
"9","Don't know",2,2731,NA
".","Missing",716,3447,NA
