"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"3 to 724","Range of Values",7878,7878,NA
".","Missing",834,8712,NA
