"RDD120.Code.or.Value","RDD120.Value.Description","RDD120.Count","RDD120.Cumulative","RDD120.Skip.to.Item"
"0 to 18","Range of Values",1328,1328,NA
"20","20 or more",2,1330,NA
"7777","Refused",0,1330,NA
"9999","Don't know",0,1330,NA
".","Missing",8492,9822,NA
