"DXXPT61Y.Code.or.Value","DXXPT61Y.Value.Description","DXXPT61Y.Count","DXXPT61Y.Cumulative","DXXPT61Y.Skip.to.Item"
"41.7 to 224.4","Range of Values",3274,3274,NA
".","Missing",434,3708,NA
