"LBXSTR.Code.or.Value","LBXSTR.Value.Description","LBXSTR.Count","LBXSTR.Cumulative","LBXSTR.Skip.to.Item"
"16 to 3854","Range of Values",6890,6890,NA
".","Missing",555,7445,NA
