"FFQ0137A.Code.or.Value","FFQ0137A.Value.Description","FFQ0137A.Count","FFQ0137A.Cumulative","FFQ0137A.Skip.to.Item"
1,"Almost never or never",2085,2085,NA
2,"About 1/4 of the time",381,2466,NA
3,"About 1/2 of the time",423,2889,NA
4,"About 3/4 of the time",154,3043,NA
5,"Almost always or always",497,3540,NA
88,"Blank",2472,6012,NA
99,"Error",1,6013,NA
