"TYXP232.Code.or.Value","TYXP232.Value.Description","TYXP232.Count","TYXP232.Cumulative","TYXP232.Skip.to.Item"
"-298 to 143","Range of Values",119,119,NA
".","Missing",5466,5585,NA
