"DUQ215Q.Code.or.Value","DUQ215Q.Value.Description","DUQ215Q.Count","DUQ215Q.Cumulative","DUQ215Q.Skip.to.Item"
"0 to 365","Range of Values",859,859,NA
"7777","Refused",1,860,NA
"9999","Don't know",0,860,NA
".","Missing",3936,4796,NA
