"BPQ056.Code.or.Value","BPQ056.Value.Description","BPQ056.Count","BPQ056.Cumulative","BPQ056.Skip.to.Item"
"1","Yes",1579,1579,""
"2","No",4883,6462,"BPQ059"
"7","Refused",0,6462,"BPQ059"
"9","Don't know",2,6464,"BPQ059"
".","Missing",0,6464,""
