"RHQ291.Code.or.Value","RHQ291.Value.Description","RHQ291.Count","RHQ291.Cumulative","RHQ291.Skip.to.Item"
"20 to 79","Range of Values",556,556,NA
"777","Refused",0,556,NA
"999","Don't know",9,565,NA
".","Missing",3053,3618,NA
