"DSQIVC.Code.or.Value","DSQIVC.Value.Description","DSQIVC.Count","DSQIVC.Cumulative","DSQIVC.Skip.to.Item"
"0.2 to 10000","Range of Values",3548,3548,NA
".","Missing",5569,9117,NA
