"DR1TCALC.Code.or.Value","DR1TCALC.Value.Description","DR1TCALC.Count","DR1TCALC.Cumulative","DR1TCALC.Skip.to.Item"
"0 to 7206","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
