"SSQ021D.Code.or.Value","SSQ021D.Value.Description","SSQ021D.Count","SSQ021D.Cumulative","SSQ021D.Skip.to.Item"
"13","Sister/brother",687,687,NA
".","Missing",3338,4025,NA
