"VTQ280H.Code.or.Value","VTQ280H.Value.Description","VTQ280H.Count","VTQ280H.Cumulative","VTQ280H.Skip.to.Item"
"1","Yes",49,49,NA
"2","No",3190,3239,NA
"7","Refused",0,3239,NA
"9","Don't know",0,3239,NA
".","Missing",306,3545,NA
