"DR1TPHOS.Code.or.Value","DR1TPHOS.Value.Description","DR1TPHOS.Count","DR1TPHOS.Cumulative","DR1TPHOS.Skip.to.Item"
"0 to 7699","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
