"DXXPOSTH.Code.or.Value","DXXPOSTH.Value.Description","DXXPOSTH.Count","DXXPOSTH.Cumulative","DXXPOSTH.Skip.to.Item"
"45.8 to 86.9","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
