"DLQ040.Code.or.Value","DLQ040.Value.Description","DLQ040.Count","DLQ040.Cumulative","DLQ040.Skip.to.Item"
"1","Yes",947,947,NA
"2","No",7101,8048,NA
"7","Refused",1,8049,NA
"9","Don't know",7,8056,NA
".","Missing",842,8898,NA
