"AUXLR220.Code.or.Value","AUXLR220.Value.Description","AUXLR220.Count","AUXLR220.Cumulative","AUXLR220.Skip.to.Item"
"-31 to 87","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
