"DS1AN.Code.or.Value","DS1AN.Value.Description","DS1AN.Count","DS1AN.Cumulative","DS1AN.Skip.to.Item"
"1","Yes",170,170,NA
"2","No",7466,7636,NA
"7","Refused",0,7636,NA
"9","Don't know",0,7636,NA
".","Missing",1068,8704,NA
