"ARQ023QG.Code.or.Value","ARQ023QG.Value.Description","ARQ023QG.Count","ARQ023QG.Cumulative","ARQ023QG.Skip.to.Item"
"19 to 66","Range of Values",13,13,NA
"777","Refused",0,13,NA
"999","Don't know",0,13,NA
".","Missing",5093,5106,NA
