"CIAORDER.Code.or.Value","CIAORDER.Value.Description","CIAORDER.Count","CIAORDER.Cumulative","CIAORDER.Skip.to.Item"
"0","Panic, GAD, Depression",407,407,NA
"1","Depression, Panic, GAD",407,814,NA
".","Missing",114,928,NA
