"WTSCI47.Code.or.Value","WTSCI47.Value.Description","WTSCI47.Count","WTSCI47.Cumulative","WTSCI47.Skip.to.Item"
"0 to 490958.88942","Range of Values",727,727,NA
".","Missing",51,778,NA
