"SSHMFA.Code.or.Value","SSHMFA.Value.Description","SSHMFA.Count","SSHMFA.Cumulative","SSHMFA.Skip.to.Item"
"25.5 to 429000","Range of Values",2226,2226,NA
".","Missing",753,2979,NA
