"SMQ173.Code.or.Value","SMQ173.Value.Description","SMQ173.Count","SMQ173.Cumulative","SMQ173.Skip.to.Item"
"1 to 30","Range of Values",33,33,NA
"7777","Refused",0,33,NA
"9999","Don't know",0,33,NA
".","Missing",4847,4880,NA
