"DXXSAX.Code.or.Value","DXXSAX.Value.Description","DXXSAX.Count","DXXSAX.Cumulative","DXXSAX.Skip.to.Item"
"185.2 to 825.4","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
