"DR2IVD.Code.or.Value","DR2IVD.Value.Description","DR2IVD.Count","DR2IVD.Cumulative","DR2IVD.Skip.to.Item"
"0 to 94.1","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
