"PAQ724af.Code.or.Value","PAQ724af.Value.Description","PAQ724af.Count","PAQ724af.Cumulative","PAQ724af.Skip.to.Item"
"32","HORSEBACK RIDING",13,13,NA
".","Missing",9242,9255,NA
