"CBD120.Code.or.Value","CBD120.Value.Description","CBD120.Count","CBD120.Cumulative","CBD120.Skip.to.Item"
"0 to 2142","Range of Values",9853,9853,NA
"777777","Refused",16,9869,NA
"999999","Don't know",183,10052,NA
".","Missing",123,10175,NA
