"URDCOPLC.Code.or.Value","URDCOPLC.Value.Description","URDCOPLC.Count","URDCOPLC.Cumulative","URDCOPLC.Skip.to.Item"
"0","At or above the detection limit",2744,2744,NA
"1","Below lower detection limit",5,2749,NA
".","Missing",70,2819,NA
