"TYXP163.Code.or.Value","TYXP163.Value.Description","TYXP163.Count","TYXP163.Cumulative","TYXP163.Skip.to.Item"
"-297 to 185","Range of Values",2083,2083,NA
".","Missing",3502,5585,NA
