"OSD030bj.Code.or.Value","OSD030bj.Value.Description","OSD030bj.Count","OSD030bj.Cumulative","OSD030bj.Skip.to.Item"
"11","11",1,1,NA
"80","80 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",6217,6218,NA
