"PAD440.Code.or.Value","PAD440.Value.Description","PAD440.Count","PAD440.Cumulative","PAD440.Skip.to.Item"
"1","Yes",2252,2252,""
"2","No",4700,6952,"PAQ480"
"3","Unable to do activity",239,7191,"PAQ480"
"7","Refused",6,7197,"PAQ480"
"9","Don't know",1,7198,"PAQ480"
".","Missing",1990,9188,""
