"MCQ170k.Code.or.Value","MCQ170k.Value.Description","MCQ170k.Count","MCQ170k.Cumulative","MCQ170k.Skip.to.Item"
"1","Yes",150,150,NA
"2","No",162,312,NA
"7","Refused",0,312,NA
"9","Don't know",8,320,NA
".","Missing",9450,9770,NA
