"WTSTH2YR.Code.or.Value","WTSTH2YR.Value.Description","WTSTH2YR.Count","WTSTH2YR.Cumulative","WTSTH2YR.Skip.to.Item"
"0 to 663502.47832","Range of Values",2547,2547,NA
".","Missing",0,2547,NA
