"AUDTYR71.Code.or.Value","AUDTYR71.Value.Description","AUDTYR71.Count","AUDTYR71.Cumulative","AUDTYR71.Skip.to.Item"
"0 to 0.78","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
