"DR2TTFAT.Code.or.Value","DR2TTFAT.Value.Description","DR2TTFAT.Count","DR2TTFAT.Cumulative","DR2TTFAT.Skip.to.Item"
"0 to 375.11","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
