"DXXIPX.Code.or.Value","DXXIPX.Value.Description","DXXIPX.Count","DXXIPX.Cumulative","DXXIPX.Skip.to.Item"
"121.5 to 692.8","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
