"DS2IMFAT.Code.or.Value","DS2IMFAT.Value.Description","DS2IMFAT.Count","DS2IMFAT.Cumulative","DS2IMFAT.Skip.to.Item"
"0.0005 to 9","Range of Values",64,64,NA
".","Missing",5635,5699,NA
