"DR2IALCO.Code.or.Value","DR2IALCO.Value.Description","DR2IALCO.Count","DR2IALCO.Cumulative","DR2IALCO.Skip.to.Item"
"0 to 297.6","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
