"HIQ105.Code.or.Value","HIQ105.Value.Description","HIQ105.Count","HIQ105.Cumulative","HIQ105.Skip.to.Item"
"1","Yes",848,848,NA
"2","No",86,934,NA
".","Missing",9241,10175,NA
