"URXGAM.Code.or.Value","URXGAM.Value.Description","URXGAM.Count","URXGAM.Cumulative","URXGAM.Skip.to.Item"
"6.65 to 114","Range of Values",3015,3015,NA
".","Missing",264,3279,NA
