"AUDTYR13.Code.or.Value","AUDTYR13.Value.Description","AUDTYR13.Count","AUDTYR13.Cumulative","AUDTYR13.Skip.to.Item"
"0 to 3.84","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
