"WTSBA17.Code.or.Value","WTSBA17.Value.Description","WTSBA17.Count","WTSBA17.Cumulative","WTSBA17.Skip.to.Item"
"0 to 356407.13236","Range of Values",946,946,NA
".","Missing",65,1011,NA
