"WTSMSMPA.Code.or.Value","WTSMSMPA.Value.Description","WTSMSMPA.Count","WTSMSMPA.Cumulative","WTSMSMPA.Skip.to.Item"
"49070.542891 to 2980185.9468","Range of Values",301,301,NA
".","Missing",0,301,NA
